"","match_id","league","match_date","home_team","home_score","away_team","away_score","avg_odds_home_win","avg_odds_draw","avg_odds_away_win","max_odds_home_win","max_odds_draw","max_odds_away_win","top_bookie_home_win","top_bookie_draw","top_bookie_away_win","n_odds_home_win","n_odds_draw","n_odds_away_win"
"4438",180463,"USA: MLS","2005-04-02","Chivas USA",0,"DC United",2,2.775,3.075,2.2475,2.85,3.1,2.29,"BetVictor","BetVictor","Sportingbet",4,4,4
"4439",180464,"USA: MLS","2005-04-02","Columbus Crew",3,"Los Angeles Galaxy",0,1.7025,3.285,4.3363,1.76,3.4,4.51,"Pinnacle Sports","Paddy Power","Pinnacle Sports",8,8,8
"4440",180465,"USA: MLS","2005-04-02","FC Dallas",2,"Chicago Fire",1,1.9071,3.18,3.5571,1.95,3.3,3.75,"bet-at-home","Pinnacle Sports","bet365",7,7,7
"4441",180466,"USA: MLS","2005-04-02","Houston Dynamo",2,"New England Revoluti",2,1.8963,3.1888,3.5313,1.91,3.3,3.7,"Paddy Power","BetVictor","Pinnacle Sports",8,8,8
"4442",180467,"USA: MLS","2005-04-02","New York Red Bulls",0,"Real Salt Lake",0,1.8167,3.1833,3.7833,1.85,3.25,3.8,"Sportingbet","William Hill","bet-at-home",3,3,3
"4443",180468,"USA: MLS","2005-04-02","Sporting Kansas City",3,"Colorado Rapids",2,1.8025,3.2388,3.85,1.83,3.35,4,"Pinnacle Sports","BetVictor","bet365",8,8,8
"4912",181648,"USA: MLS","2005-04-09","Houston Dynamo",3,"Chivas USA",3,1.6133,3.335,5.265,1.7,3.5,7,"bet-at-home","BetVictor","BetVictor",6,6,6
"4913",181649,"USA: MLS","2005-04-09","Colorado Rapids",0,"FC Dallas",0,1.8043,3.1929,3.9043,1.9,3.4,4.09,"bet365","Pinnacle Sports","bet-at-home",7,7,7
"4914",181650,"USA: MLS","2005-04-09","DC United",1,"Chicago Fire",1,1.6514,3.2929,4.6643,1.7,3.4,5.5,"bet-at-home","Pinnacle Sports","Pinnacle Sports",7,7,7
"4915",181651,"USA: MLS","2005-04-09","Los Angeles Galaxy",3,"Real Salt Lake",1,1.7143,3.2643,4.2686,1.75,3.35,4.5,"bet-at-home","Pinnacle Sports","bet365",7,7,7
"4916",181652,"USA: MLS","2005-04-09","New England Revoluti",3,"Columbus Crew",0,2.4814,3.0486,2.5543,2.54,3.25,2.75,"bet-at-home","Pinnacle Sports","bet365",7,7,7
"5235",182508,"USA: MLS","2005-04-15","Columbus Crew",1,"DC United",0,1.8429,3.2143,3.7571,1.91,3.4,4,"Pinnacle Sports","BetVictor","BetVictor",7,7,7
"5459",183011,"USA: MLS","2005-04-16","Real Salt Lake",1,"Colorado Rapids",0,2.4911,3.0511,2.5678,2.6,3.1,2.7,"Pinnacle Sports","bet365","BetVictor",9,9,9
"5460",183012,"USA: MLS","2005-04-16","Chicago Fire",2,"Houston Dynamo",1,2.13,3.1122,3.0567,2.25,3.25,3.3,"bet365","bet365","Pinnacle Sports",9,9,9
"5461",183013,"USA: MLS","2005-04-16","Chivas USA",1,"FC Dallas",3,2.4843,3.05,2.5729,2.54,3.1,2.65,"Pinnacle Sports","BetVictor","Pinnacle Sports",7,7,7
"5462",183014,"USA: MLS","2005-04-16","New York Red Bulls",2,"Sporting Kansas City",2,2.1289,3.1344,3.0456,2.25,3.25,3.35,"bet365","bet365","Pinnacle Sports",9,9,9
"5829",183950,"USA: MLS","2005-04-22","New York Red Bulls",0,"Chicago Fire",1,1.8725,3.1438,3.7063,2,3.35,4,"bet365","BetVictor","Pinnacle Sports",8,8,8
"6042",184438,"USA: MLS","2005-04-23","Colorado Rapids",2,"Columbus Crew",0,2.2788,3.0188,2.8475,2.37,3.2,3,"bet365","BetVictor","BetVictor",8,8,8
"6043",184439,"USA: MLS","2005-04-23","DC United",3,"New England Revoluti",4,1.8525,3.1813,3.7063,1.9,3.25,4.15,"BetVictor","BetVictor","Pinnacle Sports",8,8,8
"6044",184440,"USA: MLS","2005-04-23","FC Dallas",3,"Real Salt Lake",0,1.6675,3.275,4.585,1.7,3.5,5.15,"bet-at-home","BetVictor","BetVictor",8,8,8
"6045",184441,"USA: MLS","2005-04-23","Houston Dynamo",3,"Sporting Kansas City",2,2.48,3.06,2.52,2.5,3.1,2.6,"bet365","Paddy Power","William Hill",5,5,5
"6046",184442,"USA: MLS","2005-04-23","Los Angeles Galaxy",3,"Chivas USA",1,1.5438,3.4563,5.4375,1.65,3.6,6.3,"BetVictor","bet-at-home","Pinnacle Sports",8,8,8
"6296",185118,"USA: MLS","2005-04-27","Chicago Fire",0,"New England Revoluti",3,2,3.05,3.345,2,3.1,3.39,"bet365","Sportingbet","bet365",2,2,2
"6546",185817,"USA: MLS","2005-04-30","Sporting Kansas City",0,"DC United",0,1.865,3.175,3.575,1.9,3.25,3.6,"bet-at-home","Paddy Power","Paddy Power",2,2,2
"6547",185818,"USA: MLS","2005-04-30","Colorado Rapids",1,"New York Red Bulls",3,2.05,3.225,3.225,2.1,3.25,3.25,"Pinnacle Sports","Pinnacle Sports","Pinnacle Sports",2,2,2
"6548",185819,"USA: MLS","2005-04-30","Columbus Crew",0,"Chicago Fire",2,1.725,3.32,4.1,1.73,3.39,4.2,"Paddy Power","bet365","Paddy Power",2,2,2
"6549",185820,"USA: MLS","2005-04-30","Los Angeles Galaxy",2,"FC Dallas",0,1.915,3.15,3.525,2,3.2,3.75,"Sportingbet","Paddy Power","Paddy Power",2,2,2
"6550",185821,"USA: MLS","2005-04-30","New England Revoluti",1,"Chivas USA",0,1.6433,3.3967,4.47,1.67,3.4,4.75,"Sportingbet","Sportingbet","William Hill",3,3,3
"6551",185822,"USA: MLS","2005-04-30","Real Salt Lake",2,"Houston Dynamo",2,2.3267,3.15,2.69,2.4,3.25,2.75,"Pinnacle Sports","Pinnacle Sports","bet-at-home",3,3,3
"7015",186960,"USA: MLS","2005-05-07","New York Red Bulls",0,"Houston Dynamo",1,1.9675,3.0975,3.5025,2.02,3.25,3.75,"Pinnacle Sports","BetVictor","BetVictor",4,4,4
"7016",186961,"USA: MLS","2005-05-07","Chivas USA",1,"Real Salt Lake",0,2.245,3.025,2.95,2.29,3.05,3,"Pinnacle Sports","Pinnacle Sports","Pinnacle Sports",2,2,2
"7017",186962,"USA: MLS","2005-05-07","DC United",3,"Columbus Crew",1,2.09,3.0625,3.1875,2.12,3.15,3.3,"Pinnacle Sports","Pinnacle Sports","Pinnacle Sports",4,4,4
"7018",186963,"USA: MLS","2005-05-07","New England Revoluti",2,"Chicago Fire",0,1.895,3.16,3.7,1.93,3.2,3.8,"Pinnacle Sports","bet365","Pinnacle Sports",4,4,4
"7019",186964,"USA: MLS","2005-05-07","Sporting Kansas City",3,"FC Dallas",3,1.9667,3.1,3.3667,2,3.2,3.5,"bet-at-home","bet365","bet365",3,3,3
"7212",187417,"USA: MLS","2005-05-08","Los Angeles Galaxy",3,"Colorado Rapids",2,1.73,3.25,4.33,1.73,3.25,4.33,"Sportingbet","Sportingbet","Sportingbet",1,1,1
"7463",188098,"USA: MLS","2005-05-14","Chicago Fire",0,"New York Red Bulls",3,2.03,3.175,3.185,2.06,3.2,3.2,"10Bet","Paddy Power","Paddy Power",2,2,2
"7464",188099,"USA: MLS","2005-05-14","Colorado Rapids",2,"Chivas USA",1,1.7633,3.2333,4.15,1.83,3.3,4.5,"Pinnacle Sports","William Hill","William Hill",3,3,3
"7465",188100,"USA: MLS","2005-05-14","Columbus Crew",0,"Sporting Kansas City",4,2.1,3.125,3.05,2.1,3.2,3.1,"bet-at-home","Paddy Power","Sportingbet",4,4,4
"7466",188101,"USA: MLS","2005-05-14","Houston Dynamo",0,"FC Dallas",0,2.2,3,3,2.2,3,3,"William Hill","William Hill","William Hill",1,1,1
"7467",188102,"USA: MLS","2005-05-14","New England Revoluti",1,"DC United",0,1.805,3.205,4.025,1.81,3.21,4.05,"10Bet","10Bet","10Bet",2,2,2
"7468",188103,"USA: MLS","2005-05-14","Real Salt Lake",2,"Los Angeles Galaxy",1,2.5,3.05,2.625,2.5,3.1,2.65,"bet365","Pinnacle Sports","Pinnacle Sports",2,2,2
"7735",188743,"USA: MLS","2005-05-18","FC Dallas",2,"Colorado Rapids",1,1.71,3.355,4.46,1.73,3.46,4.59,"Coral","Pinnacle Sports","Pinnacle Sports",2,2,2
"7736",188744,"USA: MLS","2005-05-18","Real Salt Lake",2,"Chivas USA",0,1.8271,3.2786,3.7414,1.95,3.39,4.09,"William Hill","bet365","Pinnacle Sports",7,7,7
"7902",189231,"USA: MLS","2005-05-21","New York Red Bulls",2,"New England Revoluti",2,2.63,3.0833,2.35,2.65,3.1,2.38,"bet-at-home","Paddy Power","Paddy Power",3,3,3
"7903",189232,"USA: MLS","2005-05-21","Chicago Fire",2,"Colorado Rapids",1,2,3.2,3.2,2,3.2,3.2,"Coral","Coral","Coral",1,1,1
"7904",189233,"USA: MLS","2005-05-21","Columbus Crew",2,"Real Salt Lake",0,1.88,3.2,3.5833,1.91,3.2,3.75,"Sportingbet","bet365","bet365",3,3,3
"7905",189234,"USA: MLS","2005-05-21","DC United",3,"Sporting Kansas City",2,2,3.1,3.2,2,3.1,3.2,"bet-at-home","bet-at-home","bet-at-home",1,1,1
"8052",189594,"USA: MLS","2005-05-22","Chivas USA",2,"FC Dallas",5,2.8,3,2.29,2.8,3,2.29,"William Hill","William Hill","William Hill",1,1,1
"8114",189783,"USA: MLS","2005-05-25","Colorado Rapids",0,"Houston Dynamo",1,2.07,3.1,3.125,2.1,3.1,3.15,"Coral","Coral","William Hill",2,2,2
"8115",189785,"USA: MLS","2005-05-25","Sporting Kansas City",1,"New York Red Bulls",0,2.0167,3.1333,3.2333,2.1,3.2,3.4,"Sportingbet","Coral","William Hill",3,3,3
"8306",190222,"USA: MLS","2005-05-28","Chivas USA",0,"Los Angeles Galaxy",2,3.8,3.3,1.835,3.85,3.3,1.87,"Pinnacle Sports","Pinnacle Sports","Pinnacle Sports",2,2,2
"8307",190223,"USA: MLS","2005-05-28","Columbus Crew",0,"New York Red Bulls",3,2.1738,3.1625,2.9338,2.35,3.25,3.25,"Pinnacle Sports","Pinnacle Sports","bwin",8,8,8
"8308",190224,"USA: MLS","2005-05-28","DC United",0,"FC Dallas",2,2.2722,3.1444,2.7544,2.37,3.4,3,"William Hill","Pinnacle Sports","bwin",9,9,9
"8309",190225,"USA: MLS","2005-05-28","New England Revoluti",0,"Colorado Rapids",0,1.505,3.475,5.725,1.55,3.6,6,"bwin","BetVictor","BetVictor",6,6,6
"8310",190226,"USA: MLS","2005-05-28","Real Salt Lake",0,"Chicago Fire",3,2.075,3.2,3.2,2.15,3.2,3.2,"Pinnacle Sports","Pinnacle Sports","Pinnacle Sports",2,2,2
"8311",190227,"USA: MLS","2005-05-28","Sporting Kansas City",1,"Houston Dynamo",0,1.9489,3.1989,3.4056,2,3.39,3.6,"BetVictor","bet365","William Hill",9,9,9
"8441",190585,"USA: MLS","2005-05-31","New York Red Bulls",2,"Chicago Fire",1,2.171,3.137,2.918,2.25,3.25,3.1,"bet365","Pinnacle Sports","bwin",10,10,10
"8451",190620,"USA: MLS","2005-06-01","Chivas USA",1,"Sporting Kansas City",1,3.1786,3.15,2.0343,3.25,3.2,2.1,"bet-at-home","bet365","bet365",7,7,7
"8518",190810,"USA: MLS","2005-06-04","Chicago Fire",5,"Chivas USA",2,1.5,3.5567,5.85,1.6,3.81,6.84,"bwin","Pinnacle Sports","Pinnacle Sports",9,9,9
"8519",190811,"USA: MLS","2005-06-04","Houston Dynamo",0,"DC United",0,1.965,3.1313,3.4563,2.1,3.2,3.85,"bet365","BetVictor","Pinnacle Sports",8,8,8
"8520",190812,"USA: MLS","2005-06-04","Los Angeles Galaxy",2,"New York Red Bulls",2,1.8257,3.2643,3.8357,2,3.4,4.25,"bet365","Pinnacle Sports","bwin",7,7,7
"8521",190813,"USA: MLS","2005-06-04","New England Revoluti",1,"Sporting Kansas City",1,1.8833,3.2611,3.6056,2.04,3.3,4.33,"Pinnacle Sports","bet-at-home","Paddy Power",9,9,9
"8522",190814,"USA: MLS","2005-06-04","Real Salt Lake",0,"FC Dallas",2,2.5311,3.1256,2.4767,2.6,3.25,2.54,"bwin","Pinnacle Sports","Pinnacle Sports",9,9,9
"8738",191445,"USA: MLS","2005-06-11","Columbus Crew",1,"Colorado Rapids",0,1.8488,3.225,3.7063,1.91,3.3,4,"Coral","BetVictor","William Hill",8,8,8
"8739",191446,"USA: MLS","2005-06-11","Los Angeles Galaxy",1,"Real Salt Lake",0,1.492,3.519,6.148,1.53,3.8,7.4,"bet365","BetVictor","Pinnacle Sports",10,10,10
"8740",191447,"USA: MLS","2005-06-11","Sporting Kansas City",0,"New England Revoluti",2,2.3186,3.1071,2.7414,2.38,3.25,2.87,"Paddy Power","Coral","William Hill",7,7,7
"8850",191707,"USA: MLS","2005-06-12","Chicago Fire",2,"FC Dallas",0,2.345,3.125,2.7138,2.5,3.25,3.25,"bet365","Pinnacle Sports","Pinnacle Sports",8,8,8
"8851",191708,"USA: MLS","2005-06-12","Chivas USA",1,"Houston Dynamo",1,3.45,3.1833,1.9267,4,3.2,2.1,"bet-at-home","bet-at-home","William Hill",6,6,6
"8852",191709,"USA: MLS","2005-06-12","New York Red Bulls",0,"DC United",0,1.91,3.1944,3.5722,2,3.25,3.75,"BetVictor","Pinnacle Sports","Coral",9,9,9
"8910",191849,"USA: MLS","2005-06-15","Colorado Rapids",1,"Los Angeles Galaxy",0,2.6333,3.0967,2.4317,2.8,3.2,2.65,"bwin","bwin","Pinnacle Sports",6,6,6
"8911",191850,"USA: MLS","2005-06-15","DC United",4,"Chicago Fire",3,2.242,3.088,2.872,2.29,3.24,3.1,"BetVictor","Pinnacle Sports","Pinnacle Sports",5,5,5
"9001",192116,"USA: MLS","2005-06-18","Chicago Fire",1,"Sporting Kansas City",1,2.025,3.155,3.286,2.25,3.25,3.75,"bet-at-home","BetVictor","Coral",10,10,10
"9002",192117,"USA: MLS","2005-06-18","Chivas USA",1,"Colorado Rapids",3,2.3078,3.0933,2.7956,2.5,3.25,3.07,"bwin","Pinnacle Sports","Pinnacle Sports",9,9,9
"9003",192118,"USA: MLS","2005-06-18","DC United",2,"New England Revoluti",0,2.6056,3.1789,2.4022,2.75,3.29,2.6,"William Hill","Pinnacle Sports","bwin",9,9,9
"9004",192119,"USA: MLS","2005-06-18","FC Dallas",1,"Los Angeles Galaxy",0,2.0511,3.1778,3.2289,2.27,3.2,3.75,"Pinnacle Sports","bet365","Coral",9,9,9
"9005",192120,"USA: MLS","2005-06-18","Houston Dynamo",3,"Real Salt Lake",0,1.712,3.306,4.343,1.8,3.5,5,"Coral","Pinnacle Sports","BetVictor",10,10,10
"9006",192121,"USA: MLS","2005-06-18","New York Red Bulls",3,"Columbus Crew",2,1.8529,3.1714,3.7429,1.91,3.25,4,"Coral","Coral","bet365",7,7,7
"9116",192372,"USA: MLS","2005-06-22","Columbus Crew",1,"New England Revoluti",3,2.8075,3.1163,2.2713,3,3.23,2.4,"bet365","Pinnacle Sports","bwin",8,8,8
"9117",192373,"USA: MLS","2005-06-22","FC Dallas",2,"Chivas USA",1,1.2857,4.4786,8.0214,1.3,4.8,9,"bet-at-home","BetVictor","William Hill",7,7,7
"9118",192374,"USA: MLS","2005-06-22","Real Salt Lake",1,"Los Angeles Galaxy",1,3.0143,3.1143,2.1771,3.3,3.25,2.35,"bet-at-home","bet-at-home","BetVictor",7,7,7
"9165",192537,"USA: MLS","2005-06-25","Colorado Rapids",1,"FC Dallas",3,2.5089,3.1378,2.4989,2.75,3.25,2.82,"Paddy Power","Coral","Pinnacle Sports",9,9,9
"9166",192538,"USA: MLS","2005-06-25","Houston Dynamo",3,"Los Angeles Galaxy",0,2.1944,3.1222,2.94,2.25,3.25,3.1,"bwin","Coral","bet365",9,9,9
"9167",192539,"USA: MLS","2005-06-25","New England Revoluti",4,"New York Red Bulls",2,1.9,3.2,3.5813,2,3.25,3.75,"bwin","Pinnacle Sports","Coral",8,8,8
"9168",192540,"USA: MLS","2005-06-25","Sporting Kansas City",3,"Chivas USA",0,1.4533,3.7233,6.1717,1.5,4,7,"bet-at-home","bet365","Ladbrokes",6,6,6
"9220",192656,"USA: MLS","2005-06-26","Chicago Fire",3,"Real Salt Lake",1,1.4433,3.6811,6.3389,1.5,3.85,7,"bet-at-home","bwin","BetVictor",9,9,9
"9260",192757,"USA: MLS","2005-06-29","Chicago Fire",4,"DC United",3,1.9355,3.2755,3.4164,2.1,3.4,3.75,"bet365","Coral","BetVictor",11,11,11
"9261",192758,"USA: MLS","2005-06-29","Houston Dynamo",1,"Colorado Rapids",0,1.82,3.226,3.884,1.91,3.3,4.5,"Coral","bwin","bwin",10,10,10
"9262",192759,"USA: MLS","2005-06-29","Sporting Kansas City",1,"Columbus Crew",1,1.7067,3.275,4.4033,1.8,3.4,4.7,"Paddy Power","BetVictor","Pinnacle Sports",6,6,6
"9319",192898,"USA: MLS","2005-07-02","Chivas USA",0,"Chicago Fire",1,3.54,3.187,1.92,3.85,3.28,2,"bwin","Pinnacle Sports","bet-at-home",10,10,10
"9320",192899,"USA: MLS","2005-07-02","Columbus Crew",0,"DC United",1,2.1973,3.1845,2.8809,2.25,3.25,3,"Sportingbet","Coral","bwin",11,11,11
"9321",192900,"USA: MLS","2005-07-02","FC Dallas",2,"Houston Dynamo",2,1.808,3.187,3.974,1.9,3.35,4.33,"bet365","bwin","Paddy Power",10,10,10
"9376",193015,"USA: MLS","2005-07-04","Colorado Rapids",2,"Sporting Kansas City",1,2.3071,3.1243,2.7814,2.4,3.27,3,"bet-at-home","Pinnacle Sports","William Hill",7,7,7
"9377",193016,"USA: MLS","2005-07-04","Los Angeles Galaxy",1,"New England Revoluti",1,2.4567,3.025,2.6583,2.75,3.1,2.8,"Pinnacle Sports","bet365","bet-at-home",6,6,6
"9378",193017,"USA: MLS","2005-07-04","Real Salt Lake",2,"New York Red Bulls",2,2.9133,3.1333,2.2167,3,3.2,2.25,"Expekt","bet365","bet365",6,6,6
"9451",193237,"USA: MLS","2005-07-09","New York Red Bulls",2,"Los Angeles Galaxy",1,1.8363,3.2725,3.7588,1.91,3.49,4.5,"Paddy Power","Pinnacle Sports","William Hill",8,8,8
"9452",193238,"USA: MLS","2005-07-09","Chicago Fire",1,"New England Revoluti",0,2.2067,3.0917,2.9267,2.25,3.2,3.1,"bet365","BetVictor","bwin",12,12,12
"9453",193240,"USA: MLS","2005-07-09","Columbus Crew",1,"Houston Dynamo",2,2.4333,3.0333,2.6667,2.52,3.1,2.75,"10Bet","10Bet","bwin",3,3,3
"9566",193492,"USA: MLS","2005-07-15","DC United",3,"Houston Dynamo",0,2.23,3.123,2.854,2.29,3.2,3,"bwin","Coral","Expekt",10,10,10
"9603",193579,"USA: MLS","2005-07-16","Chicago Fire",1,"Columbus Crew",1,1.5555,3.4664,5.4064,1.64,3.6,6.2,"10Bet","Coral","bwin",11,11,11
"9604",193580,"USA: MLS","2005-07-16","Los Angeles Galaxy",2,"Chivas USA",0,1.455,3.708,6.272,1.5,3.91,6.95,"BetVictor","10Bet","Pinnacle Sports",10,10,10
"9605",193581,"USA: MLS","2005-07-16","New England Revoluti",3,"FC Dallas",2,2.216,3.15,2.867,2.29,3.25,3.05,"bwin","Expekt","Expekt",10,10,10
"9606",193582,"USA: MLS","2005-07-16","New York Red Bulls",1,"Colorado Rapids",1,1.711,3.298,4.385,1.75,3.45,4.9,"Expekt","Expekt","Pinnacle Sports",10,10,10
"9607",193583,"USA: MLS","2005-07-16","Sporting Kansas City",3,"Real Salt Lake",2,1.4609,3.6482,6.3227,1.5,3.88,7.8,"bet365","10Bet","Pinnacle Sports",11,11,11
"9712",193776,"USA: MLS","2005-07-20","Colorado Rapids",1,"Houston Dynamo",2,2.3855,3.1345,2.6427,2.5,3.25,2.8,"Sportingbet","Expekt","bwin",11,11,11
"9713",193777,"USA: MLS","2005-07-20","Columbus Crew",1,"New York Red Bulls",0,2.4088,3.1375,2.6225,2.5,3.25,2.81,"Sportingbet","Expekt","Pinnacle Sports",8,8,8
"9714",193778,"USA: MLS","2005-07-20","Sporting Kansas City",1,"DC United",1,1.936,3.18,3.463,2,3.25,3.6,"BetVictor","William Hill","bwin",10,10,10
"9737",193831,"USA: MLS","2005-07-22","Chivas USA",1,"New England Revoluti",0,3.775,3.3083,1.8233,4.2,3.4,1.9,"William Hill","Coral","bwin",6,6,6
"9805",193941,"USA: MLS","2005-07-23","Los Angeles Galaxy",0,"DC United",1,2.11,3.1689,3.0711,2.36,3.25,3.45,"Pinnacle Sports","Coral","bwin",9,9,9
"9806",193942,"USA: MLS","2005-07-23","Colorado Rapids",4,"Chicago Fire",1,2.692,3.174,2.324,2.85,3.25,2.4,"Pinnacle Sports","Pinnacle Sports","bwin",10,10,10
"9807",193943,"USA: MLS","2005-07-23","Columbus Crew",2,"Sporting Kansas City",0,2.4889,3.1111,2.5667,2.6,3.25,2.75,"William Hill","Expekt","Pinnacle Sports",9,9,9
"9808",193944,"USA: MLS","2005-07-23","Houston Dynamo",2,"New York Red Bulls",1,1.835,3.224,3.846,1.95,3.3,4.34,"Expekt","bet-at-home","bet-at-home",10,10,10
"9809",193945,"USA: MLS","2005-07-23","Real Salt Lake",3,"FC Dallas",0,3.7844,3.2511,1.8167,4,3.4,2,"bet365","Ladbrokes","bwin",9,9,9
"9898",194136,"USA: MLS","2005-07-27","New England Revoluti",1,"Los Angeles Galaxy",1,1.7171,3.2886,4.3371,1.77,3.39,5,"Pinnacle Sports","bet365","bwin",7,7,7
"9899",194137,"USA: MLS","2005-07-27","New York Red Bulls",3,"FC Dallas",2,2.4486,3.1443,2.5486,2.6,3.2,2.65,"bwin","bet365","10Bet",7,7,7
"10461",195393,"USA: MLS","2005-08-07","Chicago Fire",2,"DC United",3,1.8875,3.2025,3.675,1.95,3.25,4,"William Hill","bet-at-home","bwin",8,8,8
"10462",195394,"USA: MLS","2005-08-07","Colorado Rapids",2,"Los Angeles Galaxy",0,2.2525,3.2038,2.79,2.35,3.25,3,"William Hill","Expekt","Expekt",8,8,8
"10463",195395,"USA: MLS","2005-08-07","FC Dallas",2,"New York Red Bulls",2,1.7457,3.2557,4.2586,1.8,3.39,4.59,"bet-at-home","bet365","Pinnacle Sports",7,7,7
"10464",195396,"USA: MLS","2005-08-07","Houston Dynamo",2,"Columbus Crew",1,1.6125,3.4425,4.865,1.66,3.55,5.5,"bet365","Expekt","bwin",8,8,8
"10465",195397,"USA: MLS","2005-08-07","New England Revoluti",1,"Sporting Kansas City",2,1.6925,3.2725,4.5363,1.73,3.33,5.05,"Paddy Power","10Bet","Expekt",8,8,8
"10466",195398,"USA: MLS","2005-08-07","Real Salt Lake",2,"Chivas USA",1,1.8286,3.2143,3.9,1.95,3.25,4.55,"bwin","bet-at-home","Expekt",7,7,7
"10571",195591,"USA: MLS","2005-08-10","Chicago Fire",2,"Sporting Kansas City",3,1.975,3.1667,3.325,2.1,3.3,3.55,"William Hill","Expekt","bet-at-home",6,6,6
"10572",195592,"USA: MLS","2005-08-10","Chivas USA",0,"Los Angeles Galaxy",1,3.36,3.13,2.002,4,3.25,2.1,"William Hill","Expekt","bet365",5,5,5
"10573",195593,"USA: MLS","2005-08-10","DC United",3,"New York Red Bulls",0,1.8667,3.2167,3.65,1.9,3.35,3.7,"bet-at-home","Expekt","Expekt",3,3,3
"10574",195594,"USA: MLS","2005-08-10","New England Revoluti",4,"Real Salt Lake",1,1.456,3.59,6.5,1.5,3.75,7,"Paddy Power","Expekt","bet365",5,5,5
"10839",196129,"USA: MLS","2005-08-13","Chicago Fire",2,"Los Angeles Galaxy",1,1.789,3.25,3.953,1.8,3.4,4.5,"bet-at-home","BetVictor","Pinnacle Sports",10,10,10
"10840",196130,"USA: MLS","2005-08-13","DC United",3,"Chivas USA",0,1.44,3.708,6.255,1.5,3.8,7,"bet-at-home","BetVictor","William Hill",10,10,10
"10841",196131,"USA: MLS","2005-08-13","FC Dallas",1,"New England Revoluti",2,2.0733,3.1711,3.1144,2.2,3.25,3.44,"Expekt","bet365","Pinnacle Sports",9,9,9
"10842",196132,"USA: MLS","2005-08-13","Houston Dynamo",1,"Colorado Rapids",1,1.577,3.488,4.997,1.61,3.6,5.45,"bet365","William Hill","Pinnacle Sports",10,10,10
"10843",196133,"USA: MLS","2005-08-13","Real Salt Lake",2,"Sporting Kansas City",4,2.66,3.0944,2.3722,2.9,3.25,2.45,"Pinnacle Sports","Expekt","Expekt",9,9,9
"10961",196392,"USA: MLS","2005-08-14","New York Red Bulls",2,"Columbus Crew",1,1.8029,3.2386,3.8371,1.95,3.3,4.33,"bet-at-home","BetVictor","Paddy Power",7,7,7
"11014",196530,"USA: MLS","2005-08-17","Colorado Rapids",2,"New England Revoluti",0,2.5625,3.125,2.4325,2.7,3.2,2.54,"bet365","Ladbrokes","bet-at-home",4,4,4
"11102",196677,"USA: MLS","2005-08-19","Sporting Kansas City",3,"Chicago Fire",0,2.0778,3.1578,3.15,2.2,3.25,3.5,"bet365","BetVictor","Pinnacle Sports",9,9,9
"11319",197148,"USA: MLS","2005-08-20","Columbus Crew",1,"FC Dallas",0,2.545,3.132,2.453,2.77,3.25,2.5,"Pinnacle Sports","William Hill","BetVictor",10,10,10
"11320",197149,"USA: MLS","2005-08-20","DC United",2,"Los Angeles Galaxy",3,1.802,3.25,3.898,1.9,3.4,4.25,"bet365","Expekt","Pinnacle Sports",10,10,10
"11321",197150,"USA: MLS","2005-08-20","Real Salt Lake",0,"Houston Dynamo",1,2.8722,3.1278,2.2311,3.25,3.25,2.29,"BetVictor","Expekt","bet-at-home",9,9,9
"11455",197464,"USA: MLS","2005-08-21","New York Red Bulls",3,"Chivas USA",3,1.461,3.583,6.476,1.5,3.75,7.5,"bet-at-home","Pinnacle Sports","William Hill",10,10,10
"11688",197878,"USA: MLS","2005-08-26","Sporting Kansas City",0,"Columbus Crew",1,1.55,3.51,5.376,1.57,3.6,5.58,"bet365","Expekt","10Bet",5,5,5
"11917",198366,"USA: MLS","2005-08-27","FC Dallas",2,"Chivas USA",2,1.4286,3.7829,6.5457,1.55,4,7.5,"William Hill","bet365","bet365",7,7,7
"11918",198367,"USA: MLS","2005-08-27","Houston Dynamo",2,"Los Angeles Galaxy",1,1.8086,3.2786,3.8043,1.85,3.35,4,"Expekt","Expekt","bet365",7,7,7
"11919",198368,"USA: MLS","2005-08-27","New England Revoluti",2,"DC United",1,1.8686,3.2471,3.6143,1.9,3.3,3.75,"bet-at-home","Expekt","bet365",7,7,7
"12219",199102,"USA: MLS","2005-08-31","DC United",5,"Real Salt Lake",1,1.3956,3.8389,7.15,1.4,4,7.5,"bet-at-home","bet365","bet365",9,9,9
"12352",199455,"USA: MLS","2005-09-03","Chivas USA",0,"Columbus Crew",3,2.517,3.142,2.486,2.7,3.37,2.6,"bet365","10Bet","Pinnacle Sports",10,10,10
"12353",199456,"USA: MLS","2005-09-03","Colorado Rapids",1,"DC United",0,2.3222,3.0778,2.7422,2.38,3.2,2.85,"Paddy Power","Expekt","Pinnacle Sports",9,9,9
"12354",199457,"USA: MLS","2005-09-03","FC Dallas",0,"Houston Dynamo",2,2.433,3.115,2.605,2.54,3.25,2.73,"Pinnacle Sports","Pinnacle Sports","10Bet",10,10,10
"12355",199458,"USA: MLS","2005-09-03","New York Red Bulls",2,"Sporting Kansas City",2,2.368,3.087,2.674,2.4,3.2,2.85,"bet-at-home","Expekt","Pinnacle Sports",10,10,10
"12356",199459,"USA: MLS","2005-09-03","Real Salt Lake",0,"New England Revoluti",1,3.343,3.157,1.992,3.75,3.25,2.04,"bet365","Expekt","10Bet",10,10,10
